S. No.,AISHE Code,Institute Name,State Name,District Name,Administrative Ministry
221,R-10221,ICAR - DIRECTORATE OF POULTRY RESEARCH ,Telangana,Ranga Reddy,"D/o Agricultural Research and Education, M/o Agriculture & Farmers Welfare"
222,R-10222,KSCSTE-SRINIVASA RAMANUJAN INSTITUTE FOR BASIC SCIENCES,Kerala,Kottayam,Ministry of Science & Technology
223,R-10223,Dr Syama Prasad Mookerjee National Institute of Water and Sanitation,West Bengal,South 24 Parganas,Ministry of Jal Shakti
224,R-10224,Bureau of Indian Standards,Delhi,Central,"Ministry of Consumer Aff., Food, & Public Dist."
225,R-10225,ICAR CENTRAL CITRUS RESEARCH INSTITUTE,Maharashtra,Nagpur,Ministry of Agriculture and Farmers Welfare
226,R-10226,"INDIAN PHARMACOPOEIA COMMISSION, MINISTRY OF HEALTH & FAMILY WELFARE GOVT. OF INDIA ",Uttar Pradesh,Ghaziabad,Ministry of Health & Family Welfare
227,R-10227,Prime Ministers Museum and Library,Delhi,Central,Ministry of Culture
228,R-10228,"CSIR-Central Drug research Institute, Lucknow",Uttar Pradesh,Lucknow,Ministry of Science & Technology
229,R-10229,ICAR-NATIONAL RESEARCH CENTRE ON LITCHI,Bihar,Muzaffarpur,Ministry of Agriculture and Farmers Welfare
230,R-10230,CSIR-CENTRAL ROAD RESEARCH INSTITUTE(CRRI),Delhi,New Delhi,"D/o Scientific and Industrial Research, M/o Science and Technology"
231,R-10231,National institute of Abiotic Stress management ,Maharashtra,Pune,Ministry of Agriculture and Farmers Welfare
232,R-10232,ICAR-National Research Institute for Integrated Pest Management,Delhi,South,Ministry of Agriculture and Farmers Welfare
233,R-10233,ICAR Central Institute for Research on Goats,Uttar Pradesh,Mathura,"D/o Agricultural Research and Education, M/o Agriculture & Farmers Welfare"
234,R-10234,ICAR-National Institute on Foot and Mouth Disease,Odisha,Khordha,"D/o Agricultural Research and Education, M/o Agriculture & Farmers Welfare"
235,R-10235,National Institute of Disaster Management,Delhi,North West,Ministry of Home Affairs
236,R-10236,Indira Gandhi National Centre for the Arts,Delhi,New Delhi,Ministry of Culture
237,R-10237,ICAR-Indian Institute of Water Management,Odisha,Khordha,"D/o Agricultural Research and Education, M/o Agriculture & Farmers Welfare"
238,R-10238,"RESEARCH AND DEVELOPMENT CENTRE FOR IRON AND STEEL (RDCIS), STEEL AUTHORITY OF INDIA LIMITED (SAIL)",Jharkhand,Ranchi,Ministry of Steel
239,R-10239,CSIR-Indian Institute of Chemical Biology,West Bengal,Kolkata,Ministry of Science & Technology
240,R-10240,CSIR-Traditional Knowledge Digital Library (CSIR-TKDL),Delhi,South,Ministry of Science & Technology
241,R-10241,ICAR-DIRECTORATE OF CASHEW RESEARCH,Karnataka,Dakshina Kannada,Ministry of Agriculture and Farmers Welfare
242,R-10242,JAWAHARLAL NEHRU ALUMINIUM RESEARCH DEVELOPMENT AND DESIGN CENTRE NAGPUR,Maharashtra,Nagpur,Ministry of Mines
243,R-10243,Non-Ferrous Materials Technology Development Centre (NFTDC),Telangana,Hyderabad,Ministry of Mines
244,R-10244,National Institute of Animal Biotechnology,Telangana,Ranga Reddy,Ministry of Science & Technology
245,R-10245,National Institute of Fisheries Post Harvest Technology and Training,Kerala,Ernakulam,"Ministry of Animal Husbandry, Dairying and Fisheries"
246,R-10246,National Institute of Rock Mechanics,Karnataka,Bengaluru Urban,Ministry of Mines
247,R-10247,Centre for Development of Telematics,Delhi,South,Ministry of Communications
248,R-10248,Security Printing and Minting Corporation of India limited,Maharashtra,Nashik,Ministry of Finance
249,R-10249,National Centre for Good Governance,Delhi,New Delhi,"Ministry of Personnel, Public Grievances & Pensions"
250,R-10250,CSIR MADRAS COMPLEX,Tamil Nadu,Chennai,Ministry of Science & Technology
251,R-10251,Indian Council of Historical Research,Delhi,Central,"D/o Higher Education, Ministry of Education, GoI"
252,R-10252,The National Library ,West Bengal,Kolkata,Ministry of Culture
253,R-10253,ICMR-National Institute of Malaria Research,Delhi,South West,"D/o Health Research, M/o Health and Family Welfare"
254,R-10254,ZOOLOGICAL SURVEY OF INDIA,West Bengal,Kolkata,"Ministry of Environment, Forests and Climate Change"
255,R-10255,"Office of Controller General of Patents, Designs and Trade Marks",Delhi,South West,"D/o Promotion of Industry and Internal Trade, M/o Commerce & Industry"
256,R-10256,NATIONAL INSTITUTE FOR GEO-INFORMATICS SCIENCE & TECHNOLOGY,Telangana,MEDCHAL MALKAJGIRI,Ministry of Science & Technology
257,R-10257,Rajiv Gandhi National Ground Water Training & Research Institute,Chhattisgarh,Raipur,Ministry of Jal Shakti
258,R-10258,Indian Railways Institute of Electrical Engineering,Maharashtra,Nashik,Ministry of Railways
259,R-10259,INDIAN RUBBER MATERIALS RESEARCH INSTITUTE,Maharashtra,Thane,Ministry of Commerce & Industry
260,R-10260,"Western regional Disease Diagnostic Laboratory/Disease Investigation Section, Aundh Pune-67 ",Maharashtra,Pune,"Ministry of Animal Husbandry, Dairying and Fisheries"
261,R-10261,INDIAN RAILWAYS INSTITUTE OF SIGNAL ENGINEERING AND TELECOMMUNICATIONS,Telangana,Hyderabad,Ministry of Railways
262,R-10262,ICMR - National Institute of Cancer Prevention and Research,Uttar Pradesh,Gautam Buddha Nagar,"D/o Health Research, M/o Health and Family Welfare"
263,R-10263,Nagaland Science and Technology Council,Nagaland,Kohima,Ministry of Science & Technology
264,R-10264,CENTRAL WATER COMMISSION,Delhi,South West,Ministry of Jal Shakti
265,R-10265,Central Council for Research in Ayurvedc Sciences,Delhi,South West,Ministry of AYUSH
266,R-10266,Central Council for Research in Unani Medicine,Delhi,West,Ministry of AYUSH
267,R-10267,Central Council For Research In Yoga And Naturopathy,Delhi,New Delhi,Ministry of AYUSH
